SEX,CURICULUM,LOCAL_CAPITAL,PREV_DEGREE,GPA,RELIGION,FUND,CUM_GPA,COUNT_TERM,PARENTS_INCOME,PARENTS_MARRIED,DROPOUT
1,0,1,0,3.36,0,0,2.59,9,26000,1,1
1,0,1,0,3.16,0,0,3.31,10,50000,1,1
1,0,1,0,2.44,0,0,0.51,2,100000,1,0
1,0,1,0,3.24,0,0,3.51,8,3000,3,1
1,1,0,0,2.59,0,0,2.16,9,57499,2,1
1,1,0,0,2.6,0,0,2.43,9,15000,1,1
1,1,1,0,3.32,0,0,3.76,8,6250,2,1
0,1,0,2,3.05,0,0,2.18,10,29000,1,1
1,1,0,0,2.97,0,0,3,8,15000,1,1
1,1,1,2,3.2,0,0,3.04,8,13000,0,1
1,1,0,0,2.32,0,0,2.18,14,10500,1,1
1,1,0,2,2.83,0,0,2.01,2,15000,1,0
1,0,1,2,2.85,0,0,2.6,9,17050,1,1
1,0,0,2,3.6,0,0,3.29,8,30000,1,1
1,0,0,0,3.69,1,0,3.49,8,5000,1,1
1,0,1,2,3.72,0,0,3.03,9,20000,1,1
1,0,1,2,3.56,1,1,0.53,1,51499,3,0
1,0,0,0,3.5,1,0,2.89,9,17000,1,1
1,0,1,2,3.43,0,0,3.65,8,40000,1,1
1,0,0,0,3.55,0,0,3.62,8,21500,1,1
1,0,1,2,3.3,0,0,3.14,10,42500,1,1
1,0,0,0,3.3,0,0,3.21,8,49000,0,1
1,0,0,0,3.64,0,0,3.42,10,30000,2,1
1,0,0,2,3.66,0,0,3.64,9,25000,1,1
1,0,0,2,2.94,0,0,2.9,10,72499,3,1
1,0,0,2,3.3,0,0,2.55,9,31350,1,1
0,0,1,0,2.97,0,0,3.3,9,41500,1,1
0,0,1,0,3.02,0,0,2.79,9,17500,1,1
1,0,1,2,3.37,0,1,2.6,9,41500,1,1
1,0,1,0,3.32,0,0,2.83,10,15000,1,1
1,0,1,0,3.37,0,0,3.78,8,4915,1,1
1,1,1,0,3.11,0,0,3.75,8,0,1,1
1,1,1,2,2.37,1,0,0.96,1,5000,1,0
1,1,0,0,2.33,0,0,2.84,9,8500,1,1
1,1,1,0,3.52,0,0,3.19,9,17000,2,1
1,1,0,0,2.17,0,0,1.7,8,15500,2,0
1,1,1,2,3.06,0,0,3.01,9,6500,1,1
1,0,1,0,3.34,0,0,3.48,3,11000,1,1
0,0,1,2,2.78,0,0,2.3,3,65000,1,1
0,0,0,2,2.98,0,0,2.39,4,30000,1,1
0,0,0,0,2.9,0,0,3.01,3,59500,1,1
1,0,0,0,2.95,0,0,2.55,3,37000,1,1
0,0,0,0,3,0,0,2.69,3,12500,1,1
0,0,0,0,2.98,0,0,2.7,3,30000,1,1
1,0,1,2,3.47,1,0,2.93,3,15000,1,1
1,0,0,2,3.18,0,0,2.84,4,7500,1,1
1,0,1,2,3.03,0,0,3.43,3,57499,3,1
1,1,0,0,2.83,0,0,3.57,3,20000,1,1
0,1,0,0,2.33,0,0,2.81,4,30000,1,1
0,1,0,2,2.9,0,0,3.14,3,30000,1,1
1,1,0,0,2.75,0,0,2.78,3,53499,3,1
0,1,1,0,2.74,0,0,3.08,3,15000,1,1
0,1,1,2,2.67,1,0,3.04,3,55499,3,1
1,1,0,0,2.65,0,0,2.72,3,10000,1,1
1,1,1,2,2.5,0,0,2.04,3,50000,1,1
0,1,0,0,2.25,0,0,2.95,3,50000,1,1
0,1,0,2,2.68,0,0,3.39,3,40000,1,1
1,1,0,0,3,0,0,3.65,3,13500,1,1
0,1,1,0,2.9,0,0,2.25,3,6000,2,1
1,1,1,0,2.27,0,0,2.72,3,10000,1,1
0,1,0,0,2.14,0,0,2.59,3,15000,1,1
0,1,1,0,2.28,0,0,2.9,3,15000,1,1
1,0,0,0,3.54,0,0,1.77,1,20000,1,0
1,0,1,0,3.26,0,0,2.28,0,6500,1,1
0,0,0,0,3.02,0,0,3.02,1,1250,3,1
0,0,0,0,3.13,1,0,3.4,1,4500,1,1
